x,y
8,17
9,17
6,18
7,18
10,18
11,18
12,18
13,18
14,18
2,19
3,19
4,19
5,19
15,19
16,19
17,19
18,19
2,20
19,20
20,20
21,20
2,21
22,21
23,21
24,21
25,21
2,22
3,22
4,22
5,22
6,22
7,22
8,22
9,22
26,22
27,22
28,22
29,22
9,23
10,23
30,23
31,23
11,24
12,24
13,24
14,24
32,24
33,24
34,24
15,25
16,25
17,25
27,25
28,25
29,25
35,25
36,25
18,26
19,26
30,26
37,26
38,26
20,27
21,27
39,27
40,27
21,28
22,28
41,28
42,28
23,29
24,29
43,29
44,29
25,30
26,30
44,30
45,30
27,31
28,31
46,31
47,31
29,32
30,32
48,32
49,32
31,33
32,33
49,33
50,33
33,34
34,34
51,34
52,34
34,35
35,35
36,35
52,35
53,35
36,36
37,36
38,36
54,36
55,36
39,37
40,37
55,37
56,37
40,38
41,38
57,38
58,38
42,39
43,39
59,39
60,39
43,40
44,40
61,40
62,40
45,41
46,41
62,41
63,41
47,42
48,42
64,42
65,42
48,43
49,43
65,43
66,43
50,44
51,44
67,44
68,44
52,45
53,45
68,45
69,45
54,46
55,46
69,46
70,46
55,47
56,47
70,47
71,47
57,48
58,48
71,48
59,49
60,49
72,49
60,50
61,50
72,50
73,50
61,51
62,51
73,51
74,51
63,52
64,52
74,52
75,52
64,53
65,53
75,53
76,53
65,54
66,54
76,54
77,54
66,55
67,55
77,55
78,55
68,56
69,56
78,56
79,56
69,57
70,57
79,57
80,57
71,58
72,58
80,58
81,58
73,59
74,59
77,59
81,59
82,59
74,60
78,60
82,60
75,61
79,61
83,61
75,62
76,62
80,62
83,62
84,62
76,63
80,63
84,63
85,63
77,64
80,64
81,64
85,64
77,65
81,65
82,65
85,65
86,65
77,66
78,66
82,66
86,66
78,67
83,67
87,67
79,68
83,68
84,68
87,68
79,69
80,69
84,69
88,69
80,70
88,70
89,70
81,71
89,71
81,72
90,72
81,73
87,73
90,73
82,74
87,74
91,74
82,75
87,75
91,75
83,76
87,76
88,76
92,76
83,77
88,77
92,77
93,77
84,78
88,78
89,78
93,78
84,79
85,79
89,79
90,79
94,79
85,80
86,80
91,80
94,80
86,81
91,81
95,81
87,82
91,82
95,82
87,83
91,83
92,83
96,83
87,84
92,84
96,84
97,84
88,85
92,85
93,85
97,85
88,86
93,86
98,86
88,87
93,87
98,87
88,88
93,88
99,88
89,89
93,89
94,89
99,89
89,90
94,90
100,90
89,91
95,91
96,91
100,91
89,92
97,92
101,92
90,93
97,93
101,93
90,94
98,94
101,94
90,95
98,95
102,95
90,96
98,96
99,96
102,96
91,97
99,97
102,97
91,98
102,98
91,99
102,99
92,100
102,100
92,101
103,101
93,102
103,102
93,103
94,103
103,103
94,104
103,104
95,105
103,105
95,106
103,106
96,107
103,107
96,108
103,108
97,109
103,109
97,110
102,110
97,111
101,111
102,111
97,112
102,112
97,113
102,113
97,114
102,114
97,115
102,115
97,116
102,116
97,117
102,117
97,118
102,118
96,119
101,119
96,120
99,120
101,120
97,121
101,121
97,122
101,122
96,123
101,123
96,124
100,124
96,125
98,125
100,125
95,126
98,126
100,126
95,127
99,127
95,128
97,128
99,128
95,129
97,129
99,129
94,130
97,130
99,130
94,131
98,131
93,132
96,132
98,132
93,133
98,133
93,134
97,134
92,135
95,135
97,135
92,136
97,136
91,137
96,137
91,138
96,138
91,139
96,139
91,140
96,140
91,141
95,141
91,142
95,142
91,143
95,143
90,144
95,144
90,145
95,145
89,146
95,146
89,147
95,147
89,148
95,148
89,149
95,149
90,150
95,150
90,151
95,151
90,152
95,152
90,153
95,153
90,154
96,154
90,155
96,155
90,156
96,156
90,157
96,157
90,158
97,158
90,159
97,159
90,160
98,160
90,161
98,161
90,162
98,162
90,163
99,163
90,164
99,164
100,164
90,165
100,165
91,166
101,166
91,167
101,167
102,167
91,168
102,168
103,168
91,169
103,169
104,169
92,170
104,170
92,171
105,171
93,172
106,172
107,172
93,173
107,173
93,174
107,174
94,175
108,175
94,176
95,176
108,176
109,176
95,177
96,177
107,177
109,177
96,178
97,178
109,178
110,178
97,179
98,179
110,179
98,180
99,180
110,180
111,180
99,181
100,181
111,181
100,182
101,182
111,182
101,183
102,183
112,183
102,184
103,184
112,184
113,184
104,185
105,185
113,185
105,186
106,186
113,186
114,186
106,187
107,187
112,187
114,187
107,188
108,188
114,188
108,189
109,189
114,189
109,190
110,190
114,190
111,191
112,191
113,191
